HP_ID,H_ID,P_ID,W_ID,W_RBW,W_DETAIL,wegkm,wegkm_imp,source_distance_status,km_routing,routing_distance_status,bus28_zo,tram28_zo,bahn28_zo,min_ozmz_zo,destination_context_status,exact_od_location_status,RegioStaR17,RegioStaR7,RegioStaR4,RegioStaR2,RegioStaRGem7,RegioStaRGem5,residential_geography_interpretation
5510281,5510280.0,1,4,0,1,5.4,5.4,DIRECT_SOURCE_DISTANCE_VALID,17.748,ROUTED_DISTANCE_AVAILABLE,2,2,2,1,DEST_CONTEXT_ASSIGNED,NOT_EXPOSED_IN_B1_STANDARD,111,71,11,1,71,51,RESIDENT_CONTEXT_NOT_TRIP_DESTINATION
5510281,5510280.0,1,5,0,1,3.6,3.6,DIRECT_SOURCE_DISTANCE_VALID,3.42,ROUTED_DISTANCE_AVAILABLE,2,2,3,2,DEST_CONTEXT_ASSIGNED,NOT_EXPOSED_IN_B1_STANDARD,111,71,11,1,71,51,RESIDENT_CONTEXT_NOT_TRIP_DESTINATION
5510281,5510280.0,1,6,0,1,0.69,0.69,DIRECT_SOURCE_DISTANCE_VALID,70706.0,ROUTING_NOT_APPLICABLE_NO_AUTO_PT,95,95,95,95,DEST_CONTEXT_UNASSIGNED,NOT_EXPOSED_IN_B1_STANDARD,111,71,11,1,71,51,RESIDENT_CONTEXT_NOT_TRIP_DESTINATION
5510281,5510280.0,1,7,0,1,0.69,0.69,DIRECT_SOURCE_DISTANCE_VALID,70706.0,ROUTING_NOT_APPLICABLE_NO_AUTO_PT,2,2,3,2,DEST_CONTEXT_ASSIGNED,NOT_EXPOSED_IN_B1_STANDARD,111,71,11,1,71,51,RESIDENT_CONTEXT_NOT_TRIP_DESTINATION
5514101,5514100.0,1,1,0,1,0.49,0.49,DIRECT_SOURCE_DISTANCE_VALID,70706.0,ROUTING_NOT_APPLICABLE_NO_AUTO_PT,95,95,95,95,DEST_CONTEXT_UNASSIGNED,NOT_EXPOSED_IN_B1_STANDARD,111,71,11,1,71,51,RESIDENT_CONTEXT_NOT_TRIP_DESTINATION
5514101,5514100.0,1,2,0,1,0.49,0.49,DIRECT_SOURCE_DISTANCE_VALID,70706.0,ROUTING_NOT_APPLICABLE_NO_AUTO_PT,2,1,3,1,DEST_CONTEXT_ASSIGNED,NOT_EXPOSED_IN_B1_STANDARD,111,71,11,1,71,51,RESIDENT_CONTEXT_NOT_TRIP_DESTINATION
5514101,5514100.0,1,3,0,1,0.74,0.74,DIRECT_SOURCE_DISTANCE_VALID,70706.0,ROUTING_NOT_APPLICABLE_NO_AUTO_PT,95,95,95,95,DEST_CONTEXT_UNASSIGNED,NOT_EXPOSED_IN_B1_STANDARD,111,71,11,1,71,51,RESIDENT_CONTEXT_NOT_TRIP_DESTINATION
5514101,5514100.0,1,4,0,1,0.68,0.68,DIRECT_SOURCE_DISTANCE_VALID,16.248,ROUTED_DISTANCE_AVAILABLE,2,1,3,1,DEST_CONTEXT_ASSIGNED,NOT_EXPOSED_IN_B1_STANDARD,111,71,11,1,71,51,RESIDENT_CONTEXT_NOT_TRIP_DESTINATION
5520141,5520140.0,1,1,0,202,7.2,7.2,DIRECT_SOURCE_DISTANCE_VALID,9995.0,ROUTING_NOT_COMPUTABLE,95,95,95,95,DEST_CONTEXT_UNASSIGNED,NOT_EXPOSED_IN_B1_STANDARD,111,71,11,1,71,51,RESIDENT_CONTEXT_NOT_TRIP_DESTINATION
5520141,5520140.0,1,2,0,202,90.0,90.0,DIRECT_SOURCE_DISTANCE_VALID,9995.0,ROUTING_NOT_COMPUTABLE,1,4,4,2,DEST_CONTEXT_ASSIGNED,NOT_EXPOSED_IN_B1_STANDARD,111,71,11,1,71,51,RESIDENT_CONTEXT_NOT_TRIP_DESTINATION
5520141,5520140.0,1,3,0,202,90.0,90.0,DIRECT_SOURCE_DISTANCE_VALID,9995.0,ROUTING_NOT_COMPUTABLE,95,95,95,95,DEST_CONTEXT_UNASSIGNED,NOT_EXPOSED_IN_B1_STANDARD,111,71,11,1,71,51,RESIDENT_CONTEXT_NOT_TRIP_DESTINATION
5520141,5520140.0,1,4,0,202,7.2,7.2,DIRECT_SOURCE_DISTANCE_VALID,9995.0,ROUTING_NOT_COMPUTABLE,1,6,3,1,DEST_CONTEXT_ASSIGNED,NOT_EXPOSED_IN_B1_STANDARD,111,71,11,1,71,51,RESIDENT_CONTEXT_NOT_TRIP_DESTINATION
5520141,5520140.0,1,5,0,202,1.8,1.8,DIRECT_SOURCE_DISTANCE_VALID,8.882,ROUTED_DISTANCE_AVAILABLE,1,6,1,2,DEST_CONTEXT_ASSIGNED,NOT_EXPOSED_IN_B1_STANDARD,111,71,11,1,71,51,RESIDENT_CONTEXT_NOT_TRIP_DESTINATION
5520191,5520190.0,1,1,0,202,13.59,13.59,DIRECT_SOURCE_DISTANCE_VALID,15.981,ROUTED_DISTANCE_AVAILABLE,1,4,4,1,DEST_CONTEXT_ASSIGNED,NOT_EXPOSED_IN_B1_STANDARD,111,71,11,1,71,51,RESIDENT_CONTEXT_NOT_TRIP_DESTINATION
5520191,5520190.0,1,2,0,202,15.3,15.3,DIRECT_SOURCE_DISTANCE_VALID,16.338,ROUTED_DISTANCE_AVAILABLE,1,6,3,2,DEST_CONTEXT_ASSIGNED,NOT_EXPOSED_IN_B1_STANDARD,111,71,11,1,71,51,RESIDENT_CONTEXT_NOT_TRIP_DESTINATION
5520191,5520190.0,1,3,0,202,2.94,2.94,DIRECT_SOURCE_DISTANCE_VALID,70706.0,ROUTING_NOT_APPLICABLE_NO_AUTO_PT,95,95,95,95,DEST_CONTEXT_UNASSIGNED,NOT_EXPOSED_IN_B1_STANDARD,111,71,11,1,71,51,RESIDENT_CONTEXT_NOT_TRIP_DESTINATION
5520191,5520190.0,1,4,0,202,0.59,0.59,DIRECT_SOURCE_DISTANCE_VALID,70706.0,ROUTING_NOT_APPLICABLE_NO_AUTO_PT,1,6,3,2,DEST_CONTEXT_ASSIGNED,NOT_EXPOSED_IN_B1_STANDARD,111,71,11,1,71,51,RESIDENT_CONTEXT_NOT_TRIP_DESTINATION
5520192,5520190.0,2,1,0,202,0.59,0.59,DIRECT_SOURCE_DISTANCE_VALID,70706.0,ROUTING_NOT_APPLICABLE_NO_AUTO_PT,95,95,95,95,DEST_CONTEXT_UNASSIGNED,NOT_EXPOSED_IN_B1_STANDARD,111,71,11,1,71,51,RESIDENT_CONTEXT_NOT_TRIP_DESTINATION
5520192,5520190.0,2,2,0,202,0.59,0.59,DIRECT_SOURCE_DISTANCE_VALID,70706.0,ROUTING_NOT_APPLICABLE_NO_AUTO_PT,1,1,1,2,DEST_CONTEXT_ASSIGNED,NOT_EXPOSED_IN_B1_STANDARD,111,71,11,1,71,51,RESIDENT_CONTEXT_NOT_TRIP_DESTINATION
5520192,5520190.0,2,3,0,202,3.6,3.6,DIRECT_SOURCE_DISTANCE_VALID,5.068,ROUTED_DISTANCE_AVAILABLE,1,1,1,2,DEST_CONTEXT_ASSIGNED,NOT_EXPOSED_IN_B1_STANDARD,111,71,11,1,71,51,RESIDENT_CONTEXT_NOT_TRIP_DESTINATION
5520192,5520190.0,2,4,0,202,3.6,3.6,DIRECT_SOURCE_DISTANCE_VALID,5.068,ROUTED_DISTANCE_AVAILABLE,1,1,1,2,DEST_CONTEXT_ASSIGNED,NOT_EXPOSED_IN_B1_STANDARD,111,71,11,1,71,51,RESIDENT_CONTEXT_NOT_TRIP_DESTINATION
5520192,5520190.0,2,5,0,202,4.31,4.31,DIRECT_SOURCE_DISTANCE_VALID,70706.0,ROUTING_NOT_APPLICABLE_NO_AUTO_PT,95,95,95,95,DEST_CONTEXT_UNASSIGNED,NOT_EXPOSED_IN_B1_STANDARD,111,71,11,1,71,51,RESIDENT_CONTEXT_NOT_TRIP_DESTINATION
5520192,5520190.0,2,6,0,202,4.31,4.31,DIRECT_SOURCE_DISTANCE_VALID,70706.0,ROUTING_NOT_APPLICABLE_NO_AUTO_PT,1,4,4,2,DEST_CONTEXT_ASSIGNED,NOT_EXPOSED_IN_B1_STANDARD,111,71,11,1,71,51,RESIDENT_CONTEXT_NOT_TRIP_DESTINATION
