HP_ID,n_direct_trips,all_direct_transitions_resolved,first_origin_activity,has_source_unknown_purpose,has_unresolved_return,chain_coverage_status,full_functional_day_sequence_eligible
24666131.0,2,False,UNKNOWN,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,False
24666132.0,2,False,UNKNOWN,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,False
24732931.0,3,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
24732932.0,2,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
24816421.0,1,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
24816422.0,1,False,NON_HOME_UNKNOWN,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,False
24990021.0,4,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
24990022.0,4,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
25060092.0,2,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
25114951.0,3,False,NON_HOME_UNKNOWN,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,False
25114952.0,2,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
25180011.0,1,False,NON_HOME_UNKNOWN,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,False
25180012.0,3,False,NON_HOME_UNKNOWN,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,False
25284751.0,2,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
25284752.0,2,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
25691341.0,6,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
25979091.0,6,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
26014961.0,4,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
26248571.0,2,False,UNKNOWN,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,False
26275911.0,4,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
26275912.0,4,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
26453701.0,5,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
26522541.0,4,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
26522542.0,1,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
26582261.0,2,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
26582262.0,2,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
26597334.0,4,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
26597335.0,4,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
26756371.0,4,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
26756372.0,2,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
26845811.0,3,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
26845812.0,3,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
26845813.0,4,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
26845814.0,3,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
27496821.0,6,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
27496822.0,4,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
27496823.0,4,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
27951791.0,1,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
27951792.0,4,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
27951793.0,2,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
27951794.0,2,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
28020051.0,2,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
28020053.0,2,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
28020055.0,2,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
28245991.0,4,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
28245992.0,6,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
28376891.0,4,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
28376892.0,4,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
28376893.0,2,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
28643891.0,3,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
28962801.0,2,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
28962803.0,2,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
29223041.0,2,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
29223042.0,2,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
29398201.0,2,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
30105721.0,2,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
30482271.0,6,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
