HP_ID,H_ID,P_ID,mobil_diff,P_RBW,P_RBW_ANZ,rbw_trip_count_status,W_ANZWW,additional_trip_count_status,anzwege1,anzwege2,anzwege3,direct_trip_count_observed,additional_undetailed_trip_count,rbw_trip_count_reported,analytic_total_trip_count,direct_wege_row_count,rbw_generated_row_count,wege_row_count,trip_count_fit_tier,chain_coverage_status,P_GEW
5619501,5619500.0,1,1,206,206,NOT_OBSERVED_PROXY,808,KNOWN_ZERO_BELOW_CATI_CAWI_DETAIL_CAP,3,3,3,3.0,,,3.0,3,0,3,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,4.70085593200287
5619502,5619500.0,2,1,2,607,EXPLICIT_NO_RBW,808,KNOWN_ZERO_BELOW_CATI_CAWI_DETAIL_CAP,5,5,5,5.0,,,5.0,5,0,5,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,4.21045130838138
5626231,5626230.0,1,3,1,2,KNOWN_EXACT,807,KNOWN_ZERO_BELOW_PAPI_DETAIL_CAP,2,2,4,2.0,,2.0,4.0,2,2,4,CORE_STRICT_COUNT,MIXED_DIRECT_RBW_UNTIMED,3.29045459447288
5626251,5626250.0,1,1,2,607,EXPLICIT_NO_RBW,808,KNOWN_ZERO_BELOW_CATI_CAWI_DETAIL_CAP,2,2,2,2.0,,,2.0,2,0,2,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,9.32335283178073
5626252,5626250.0,2,1,404,404,NOT_APPLICABLE_NOT_EMPLOYED,808,KNOWN_ZERO_BELOW_CATI_CAWI_DETAIL_CAP,3,3,3,3.0,,,3.0,3,0,3,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,6.07137843081232
5626841,5626840.0,1,1,2,607,EXPLICIT_NO_RBW,807,KNOWN_ZERO_BELOW_PAPI_DETAIL_CAP,2,2,2,2.0,,,2.0,2,0,2,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,6.96669777859375
5629691,5629690.0,1,1,2,607,EXPLICIT_NO_RBW,807,KNOWN_ZERO_BELOW_PAPI_DETAIL_CAP,2,2,2,2.0,,,2.0,2,0,2,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,1.98538656979683
5629692,5629690.0,2,1,2,607,EXPLICIT_NO_RBW,807,KNOWN_ZERO_BELOW_PAPI_DETAIL_CAP,4,4,4,4.0,,,4.0,4,0,4,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,2.1277219898267
5629693,5629690.0,3,0,606,606,NOT_OBSERVED_PAPI,801,NOT_APPLICABLE_NOT_MOBILE,0,0,0,0.0,,,0.0,0,0,0,CORE_STRICT_COUNT,ZERO_TRIP_COMPLETE,3.36715605471037
5629694,5629690.0,4,1,2,607,EXPLICIT_NO_RBW,807,KNOWN_ZERO_BELOW_PAPI_DETAIL_CAP,3,3,3,3.0,,,3.0,3,0,3,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,1.85463754329923
5640111,5640110.0,1,1,404,404,NOT_APPLICABLE_NOT_EMPLOYED,808,KNOWN_ZERO_BELOW_CATI_CAWI_DETAIL_CAP,4,4,4,4.0,,,4.0,4,0,4,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,1.32880742474769
5640112,5640110.0,2,1,206,206,NOT_OBSERVED_PROXY,808,KNOWN_ZERO_BELOW_CATI_CAWI_DETAIL_CAP,4,4,4,4.0,,,4.0,4,0,4,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,1.10143371336831
5641231,5641230.0,1,3,1,2,KNOWN_EXACT,807,KNOWN_ZERO_BELOW_PAPI_DETAIL_CAP,3,3,5,3.0,,2.0,5.0,3,2,5,CORE_STRICT_COUNT,MIXED_DIRECT_RBW_UNTIMED,10.1508863456555
5641232,5641230.0,2,1,1,99,MISSING_RESPONSE,807,KNOWN_ZERO_BELOW_PAPI_DETAIL_CAP,3,3,3,3.0,,,3.0,3,0,3,ANALYTIC_WITH_COMPONENT_WARNING,DIRECT_ROWS_RBW_COUNT_UNKNOWN,7.66165353046057
5641233,5641230.0,3,1,403,403,NOT_APPLICABLE_UNDER_16,807,KNOWN_ZERO_BELOW_PAPI_DETAIL_CAP,2,2,2,2.0,,,2.0,2,0,2,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,8.3402443982119
5646861,5646860.0,1,1,2,607,EXPLICIT_NO_RBW,807,KNOWN_ZERO_BELOW_PAPI_DETAIL_CAP,3,3,3,3.0,,,3.0,3,0,3,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,1.24970041743073
5646862,5646860.0,2,1,2,607,EXPLICIT_NO_RBW,807,KNOWN_ZERO_BELOW_PAPI_DETAIL_CAP,2,2,2,2.0,,,2.0,2,0,2,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,2.90221159688428
5652441,5652440.0,1,1,2,607,EXPLICIT_NO_RBW,808,KNOWN_ZERO_BELOW_CATI_CAWI_DETAIL_CAP,5,5,5,5.0,,,5.0,5,0,5,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,3.84123956168802
5652442,5652440.0,2,1,2,607,EXPLICIT_NO_RBW,808,KNOWN_ZERO_BELOW_CATI_CAWI_DETAIL_CAP,5,5,5,5.0,,,5.0,5,0,5,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,3.98059687959243
5652443,5652440.0,3,1,403,403,NOT_APPLICABLE_UNDER_16,808,KNOWN_ZERO_BELOW_CATI_CAWI_DETAIL_CAP,3,3,3,3.0,,,3.0,3,0,3,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,6.94403957474667
5652444,5652440.0,4,1,403,403,NOT_APPLICABLE_UNDER_16,808,KNOWN_ZERO_BELOW_CATI_CAWI_DETAIL_CAP,3,3,3,3.0,,,3.0,3,0,3,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,6.85267149471393
5652691,5652690.0,1,1,2,607,EXPLICIT_NO_RBW,807,KNOWN_ZERO_BELOW_PAPI_DETAIL_CAP,3,3,3,3.0,,,3.0,3,0,3,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,2.54396970274941
5652692,5652690.0,2,1,2,607,EXPLICIT_NO_RBW,807,KNOWN_ZERO_BELOW_PAPI_DETAIL_CAP,5,5,5,5.0,,,5.0,5,0,5,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,3.46977098556958
5652693,5652690.0,3,1,403,403,NOT_APPLICABLE_UNDER_16,807,KNOWN_ZERO_BELOW_PAPI_DETAIL_CAP,2,2,2,2.0,,,2.0,2,0,2,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,3.74391077807515
5659321,5659320.0,1,1,2,607,EXPLICIT_NO_RBW,808,KNOWN_ZERO_BELOW_CATI_CAWI_DETAIL_CAP,2,2,2,2.0,,,2.0,2,0,2,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,4.39907568840898
