metric_id,dimension,dataset,category,share
M2-TIME-01,departure_hour,D_REPLAY_EXACT_V1,19,0.04943509361966913
M2-TIME-01,departure_hour,D_REPLAY_EXACT_V1,2,0.0006685282607465918
M2-TIME-01,departure_hour,D_REPLAY_EXACT_V1,20,0.022837953892120108
M2-TIME-01,departure_hour,D_REPLAY_EXACT_V1,21,0.018790786652061894
M2-TIME-01,departure_hour,D_REPLAY_EXACT_V1,22,0.014897895164483664
M2-TIME-01,departure_hour,D_REPLAY_EXACT_V1,23,0.009400535851113613
M2-TIME-01,departure_hour,D_REPLAY_EXACT_V1,4,0.002036439932735772
M2-TIME-01,departure_hour,D_REPLAY_EXACT_V1,5,0.006309878276431293
M2-TIME-01,departure_hour,D_REPLAY_EXACT_V1,6,0.015304154646014286
M2-TIME-01,departure_hour,D_REPLAY_EXACT_V1,7,0.06213198804877171
M2-TIME-01,departure_hour,D_REPLAY_EXACT_V1,8,0.07453575854816231
M2-TIME-01,departure_hour,D_REPLAY_EXACT_V1,9,0.06269766580786498
M2-TIME-01,departure_hour,D_MATCH_FULLDAY_V1,0,0.0005625917642054421
M2-TIME-01,departure_hour,D_MATCH_FULLDAY_V1,1,0.0008233050207884518
M2-TIME-01,departure_hour,D_MATCH_FULLDAY_V1,10,0.06049576684001811
M2-TIME-01,departure_hour,D_MATCH_FULLDAY_V1,11,0.057885203836601395
M2-TIME-01,departure_hour,D_MATCH_FULLDAY_V1,12,0.07200145450553673
M2-TIME-01,departure_hour,D_MATCH_FULLDAY_V1,13,0.068725386610316
M2-TIME-01,departure_hour,D_MATCH_FULLDAY_V1,14,0.07577836628840375
M2-TIME-01,departure_hour,D_MATCH_FULLDAY_V1,15,0.09007299971184324
M2-TIME-01,departure_hour,D_MATCH_FULLDAY_V1,16,0.09425470312993126
M2-TIME-01,departure_hour,D_MATCH_FULLDAY_V1,17,0.07374068636195233
M2-TIME-01,departure_hour,D_MATCH_FULLDAY_V1,18,0.06339105616312417
M2-TIME-01,departure_hour,D_MATCH_FULLDAY_V1,19,0.050180441017056134
M2-TIME-01,departure_hour,D_MATCH_FULLDAY_V1,2,0.00024013063106329843
M2-TIME-01,departure_hour,D_MATCH_FULLDAY_V1,20,0.024620250559161328
M2-TIME-01,departure_hour,D_MATCH_FULLDAY_V1,21,0.01777995801144394
M2-TIME-01,departure_hour,D_MATCH_FULLDAY_V1,22,0.01477489468556609
M2-TIME-01,departure_hour,D_MATCH_FULLDAY_V1,23,0.010582899954718224
M2-TIME-01,departure_hour,D_MATCH_FULLDAY_V1,4,0.002915871948625767
M2-TIME-01,departure_hour,D_MATCH_FULLDAY_V1,5,0.00678540554633149
M2-TIME-01,departure_hour,D_MATCH_FULLDAY_V1,6,0.01870617615983095
M2-TIME-01,departure_hour,D_MATCH_FULLDAY_V1,7,0.06423494380943233
M2-TIME-01,departure_hour,D_MATCH_FULLDAY_V1,8,0.07454340875722107
M2-TIME-01,departure_hour,D_MATCH_FULLDAY_V1,9,0.05690409868682849
