metric_id,group_dimension,group_value,variant,source_n,synthetic_n,reference_value,value,delta,unit,support_status
M2-COND-02,primary_activity_status,EMPLOYED_MARGINAL,D_MATCH_FULLDAY_V1,21,853,2.6847264484894793,3.12778429073857,0.4430578422490905,trips/person-day,LOW_N
M2-COND-02,primary_activity_status,EMPLOYED_PART_TIME,D_REPLAY_EXACT_V1,217,9703,3.796020298883198,3.827888281974647,0.03186798309144878,trips/person-day,OK
M2-COND-02,primary_activity_status,EMPLOYED_PART_TIME,D_MATCH_FULLDAY_V1,217,11411,3.796020298883198,3.136710191920077,-0.6593101069631211,trips/person-day,OK
M2-COND-02,primary_activity_status,EMPLOYED_SECONDARY_OR_INTERNSHIP,D_REPLAY_EXACT_V1,13,290,2.270508044140714,2.410344827586207,0.13983678344549277,trips/person-day,LOW_N
M2-COND-02,primary_activity_status,EMPLOYED_SECONDARY_OR_INTERNSHIP,D_MATCH_FULLDAY_V1,13,311,2.270508044140714,2.7234726688102895,0.4529646246695753,trips/person-day,LOW_N
M2-COND-02,primary_activity_status,HOMEMAKER,D_REPLAY_EXACT_V1,29,987,2.8418957460916436,3.146909827760892,0.30501408166924815,trips/person-day,LOW_N
M2-COND-02,primary_activity_status,HOMEMAKER,D_MATCH_FULLDAY_V1,29,1393,2.8418957460916436,3.1521895190236897,0.3102937729320461,trips/person-day,LOW_N
M2-COND-02,primary_activity_status,NOT_EMPLOYED_UNSPECIFIED,D_REPLAY_EXACT_V1,16,572,2.7238191315694693,2.4912587412587412,-0.23256039031072806,trips/person-day,LOW_N
M2-COND-02,primary_activity_status,NOT_EMPLOYED_UNSPECIFIED,D_MATCH_FULLDAY_V1,16,840,2.7238191315694693,2.7333333333333334,0.009514201763864083,trips/person-day,LOW_N
M2-COND-02,primary_activity_status,OTHER_ACTIVITY,D_REPLAY_EXACT_V1,28,1207,2.713351470760619,2.951118475559238,0.23776700479861868,trips/person-day,LOW_N
